Title,MiniMill Exz,,,,,,,,,,,,
Operator,88h,,,,,,,,,,,,
Date,9/23/2024 10:52,,,,,,,,,,,,
,,,,,,,,,,,,,
Machine information,,,,,,,,,,,,,
Name,OpenSource MiniMill,,,,,,,,,,,,
Serial number,1,,,,,,,,,,,,
Axis under test,X,,,,,,,,,,,,
,,,,,,,,,,,,,
Test method,,,,,,,,,,,,,
Target sequence,Linear,,,,,,,,,,,,
Run sequence,Alternate,,,,,,,,,,,,
Run type,Bidirectional,,,,,,,,,,,,
Targets/Run,12,,,,,,,,,,,,
Number of runs,3,,,,,,,,,,,,
Number of channels,1,,,,,,,,,,,,
 ,,,,,,,,,,,,,
XRZ,microradians,,,,,,,,,,,,
Index,Targets (mm),Run 1 (+) Error,Run 1 (+) Time stamp,Run 1 (-) Error,Run 1 (-) Time stamp,Run 2 (+) Error,Run 2 (+) Time stamp,Run 2 (-) Error,Run 2 (-) Time stamp,Run 3 (+) Error,Run 3 (+) Time stamp,Run 3 (-) Error,Run 3 (-) Time stamp
1,-220,2.9,10:52:54 AM,2,10:56:11 AM,0.7,10:56:29 AM,-2.5,10:58:42 AM,-2.8,10:58:49 AM,-0.3,11:00:54 AM
2,-200,46.8,10:53:03 AM,52.6,10:56:01 AM,51.2,10:56:34 AM,48.7,10:58:37 AM,46.8,10:58:54 AM,46.8,11:00:48 AM
3,-180,78.8,10:53:09 AM,78.6,10:55:53 AM,76,10:56:40 AM,77.2,10:58:32 AM,74.7,10:58:59 AM,73.3,11:00:43 AM
4,-160,88.4,10:53:14 AM,88.6,10:55:48 AM,87.4,10:56:48 AM,87.9,10:58:27 AM,86.4,10:59:04 AM,87.5,11:00:38 AM
5,-140,96.6,10:53:20 AM,97.4,10:55:23 AM,93.7,10:56:54 AM,89.2,10:58:22 AM,87.6,10:59:09 AM,90.5,11:00:33 AM
6,-120,97,10:53:25 AM,99.3,10:55:17 AM,94.1,10:57:01 AM,97.4,10:58:17 AM,94.8,10:59:15 AM,94.9,11:00:27 AM
7,-100,99.3,10:53:29 AM,95.7,10:54:56 AM,92.4,10:57:07 AM,97.3,10:58:11 AM,90.5,10:59:20 AM,93.9,11:00:21 AM
8,-80,97.1,10:53:35 AM,97.8,10:54:41 AM,97.1,10:57:13 AM,95.4,10:58:06 AM,95.6,10:59:26 AM,97.4,11:00:16 AM
9,-60,88.8,10:53:40 AM,91.2,10:54:21 AM,83.4,10:57:18 AM,86.5,10:58:00 AM,84,10:59:31 AM,86.7,11:00:10 AM
10,-40,68.1,10:53:45 AM,68.4,10:54:15 AM,66.9,10:57:24 AM,69.5,10:57:55 AM,69.2,10:59:37 AM,67.4,11:00:05 AM
11,-20,38.8,10:53:51 AM,40,10:54:11 AM,37.7,10:57:31 AM,38.1,10:57:49 AM,33.5,10:59:42 AM,35.1,10:59:59 AM
12,0,1.6,10:53:57 AM,2.5,10:54:05 AM,-1,10:57:37 AM,0.5,10:57:44 AM,-3.1,10:59:48 AM,-0.5,10:59:54 AM
,,,,,,,,,,,,,
Test equipment,,,,,,,,,,,,,
Renishaw XL-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XL-80,,,,,,,,,,,,
Serial number,2NMA84,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2NMA84-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw Inc,,,,,,,,,,,,
,,,,,,,,,,,,,
Renishaw XC-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XC-80,,,,,,,,,,,,
Serial number,2YNH13,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2YNH13-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw PLC,,,,,,,,,,,,
,,,,,,,,,,,,,
AirTemperature,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirTemperature,,,,,,,,,,,,
Serial number,23J127,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J127-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
AirPressure,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirPressure,,,,,,,,,,,,
Serial number,23J081,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J081-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
MaterialTemperature1,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,MaterialTemperature1,,,,,,,,,,,,
Serial number,23H984,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23H984-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
Sensor,Start reading,End reading,Min reading,Max reading,,,,,,,,,
Air temp [°C],23.3,23.3,23.3,23.3,,,,,,,,,
Air pressure [mbar],974.8,974.8,974.8,975,,,,,,,,,
Air humidity [%RH],60,60,60,60,,,,,,,,,
Material temp 1 [°C],23.4,23.4,23.4,23.4,,,,,,,,,
Material temp 2 [°C],Not recorded,Not recorded,,,,,,,,,,,
Material temp 3 [°C],Not recorded,Not recorded,,,,,,,,,,,
