Title,MiniMill Paper Sxx,,,,,,,,,,,,,,,,,,
Operator,88h,,,,,,,,,,,,,,,,,,
Date,9/23/2024 9:24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Machine information,,,,,,,,,,,,,,,,,,,
Name,OpenSource MiniMill,,,,,,,,,,,,,,,,,,
Serial number,1,,,,,,,,,,,,,,,,,,
Axis under test,X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Test method,,,,,,,,,,,,,,,,,,,
Target sequence,Linear,,,,,,,,,,,,,,,,,,
Run sequence,Alternate,,,,,,,,,,,,,,,,,,
Run type,Bidirectional,,,,,,,,,,,,,,,,,,
Targets/Run,12,,,,,,,,,,,,,,,,,,
Number of runs,3,,,,,,,,,,,,,,,,,,
Number of channels,1,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
XTX,micrometres,,,,,,,,,,,,,,,,,,
Index,Targets (mm),Run 1 (+) Position,Run 1 (+) Error,Run 1 (+) Time stamp,Run 1 (-) Position,Run 1 (-) Error,Run 1 (-) Time stamp,Run 2 (+) Position,Run 2 (+) Error,Run 2 (+) Time stamp,Run 2 (-) Position,Run 2 (-) Error,Run 2 (-) Time stamp,Run 3 (+) Position,Run 3 (+) Error,Run 3 (+) Time stamp,Run 3 (-) Position,Run 3 (-) Error,Run 3 (-) Time stamp
1,-220,-220,0,9:24:32 AM,-219.9987,1.3,9:26:25 AM,-220.0002,-0.2,9:26:30 AM,-220.0006,-0.6,9:29:13 AM,-220.0013,-1.3,9:29:18 AM,-220.0009,-0.9,9:31:25 AM
2,-200,-200.0034,-3.4,9:24:42 AM,-200.0047,-4.7,9:26:20 AM,-200.006,-6,9:26:35 AM,-200.0038,-3.8,9:29:08 AM,-200.0057,-5.7,9:29:23 AM,-200.0031,-3.1,9:31:20 AM
3,-180,-180.0138,-13.8,9:24:47 AM,-180.0091,-9.1,9:26:15 AM,-180.0138,-13.8,9:26:40 AM,-180.01,-10,9:29:01 AM,-180.0124,-12.4,9:29:28 AM,-180.0116,-11.6,9:31:14 AM
4,-160,-160.0218,-21.8,9:24:52 AM,-160.0205,-20.5,9:26:09 AM,-160.0223,-22.3,9:27:24 AM,-160.0229,-22.9,9:28:56 AM,-160.0232,-23.2,9:29:34 AM,-160.022,-22,9:31:08 AM
