Title,MiniMill Sxy,,,,,,,,,,,,
Operator,88h,,,,,,,,,,,,
Date,9/24/2024 10:23,,,,,,,,,,,,
,,,,,,,,,,,,,
Machine information,,,,,,,,,,,,,
Name,OpenSource MiniMill,,,,,,,,,,,,
Serial number,1,,,,,,,,,,,,
Axis under test,X,,,,,,,,,,,,
,,,,,,,,,,,,,
Test method,,,,,,,,,,,,,
Target sequence,Linear,,,,,,,,,,,,
Run sequence,Alternate,,,,,,,,,,,,
Run type,Bidirectional,,,,,,,,,,,,
Targets/Run,12,,,,,,,,,,,,
Number of runs,3,,,,,,,,,,,,
Number of channels,1,,,,,,,,,,,,
 ,,,,,,,,,,,,,
XTY,micrometres,,,,,,,,,,,,
Index,Targets (mm),Run 1 (+) Error,Run 1 (+) Time stamp,Run 1 (-) Error,Run 1 (-) Time stamp,Run 2 (+) Error,Run 2 (+) Time stamp,Run 2 (-) Error,Run 2 (-) Time stamp,Run 3 (+) Error,Run 3 (+) Time stamp,Run 3 (-) Error,Run 3 (-) Time stamp
1,-220,0,10:23:26 AM,0,10:27:15 AM,0,10:27:27 AM,0,10:31:23 AM,0,10:31:38 AM,0,10:35:52 AM
2,-200,6.5,10:23:36 AM,7.8,10:27:01 AM,9,10:27:35 AM,7.6,10:31:13 AM,7.8,10:31:49 AM,8.1,10:35:40 AM
3,-180,17.1,10:23:45 AM,16.3,10:26:49 AM,16.9,10:27:46 AM,16.3,10:31:02 AM,16.1,10:32:01 AM,17.2,10:35:30 AM
4,-160,26.7,10:23:54 AM,24.9,10:26:39 AM,24.7,10:27:55 AM,26.1,10:30:52 AM,25.8,10:32:11 AM,27.1,10:35:19 AM
5,-140,35.5,10:24:03 AM,36,10:26:30 AM,35.1,10:28:06 AM,35.8,10:30:43 AM,34.9,10:32:23 AM,35.2,10:35:08 AM
6,-120,41.8,10:24:13 AM,41.3,10:26:21 AM,40.4,10:28:16 AM,39.9,10:30:34 AM,40,10:32:35 AM,40.8,10:34:57 AM
7,-100,43.2,10:24:24 AM,42.1,10:26:12 AM,43,10:28:25 AM,42.6,10:30:24 AM,41.1,10:32:49 AM,42.5,10:34:46 AM
8,-80,39.8,10:24:34 AM,37.2,10:26:03 AM,36.4,10:28:36 AM,38.7,10:30:12 AM,39,10:32:58 AM,38.6,10:34:36 AM
9,-60,31.5,10:24:44 AM,32.3,10:25:53 AM,29.1,10:28:46 AM,31.5,10:30:02 AM,30.7,10:33:09 AM,30,10:34:27 AM
10,-40,21.9,10:24:53 AM,24,10:25:43 AM,19.9,10:28:58 AM,21.3,10:29:53 AM,22.3,10:33:20 AM,24.2,10:34:14 AM
11,-20,12.3,10:25:02 AM,11.2,10:25:32 AM,11.5,10:29:11 AM,14.1,10:29:43 AM,13.5,10:33:32 AM,13.5,10:34:03 AM
12,0,0,10:25:14 AM,0,10:25:23 AM,0,10:29:23 AM,0,10:29:32 AM,0,10:33:42 AM,0,10:33:53 AM
,,,,,,,,,,,,,
Test equipment,,,,,,,,,,,,,
Renishaw XL-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XL-80,,,,,,,,,,,,
Serial number,2NMA84,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2NMA84-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw Inc,,,,,,,,,,,,
,,,,,,,,,,,,,
Renishaw XC-80,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,Renishaw XC-80,,,,,,,,,,,,
Serial number,2YNH13,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,2YNH13-210125-00,,,,,,,,,,,,
Calibration organization,Renishaw PLC,,,,,,,,,,,,
,,,,,,,,,,,,,
AirTemperature,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirTemperature,,,,,,,,,,,,
Serial number,23J127,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J127-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
AirPressure,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,AirPressure,,,,,,,,,,,,
Serial number,23J081,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23J081-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
MaterialTemperature1,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,
Model,MaterialTemperature1,,,,,,,,,,,,
Serial number,23H984,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,
Certificate number,20210125-23H984-00,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,
,,,,,,,,,,,,,
Sensor,Start reading,End reading,Min reading,Max reading,,,,,,,,,
Air temp [°C],23.5,23.3,23.3,23.5,,,,,,,,,
Air pressure [mbar],974,974,973.8,974,,,,,,,,,
Air humidity [%RH],60,60,60,60,,,,,,,,,
Material temp 1 [°C],23.7,23.6,23.6,23.7,,,,,,,,,
Material temp 2 [°C],Not recorded,Not recorded,,,,,,,,,,,
Material temp 3 [°C],Not recorded,Not recorded,,,,,,,,,,,
